Time(s),Force(N),dx(m),dr(m)
299,321.217026401203,0.00000155243784,0.00000048341534
300,322.5895251846,0.0000017258665,0.00000050051462
301,324.795887594429,0.00000132887974,0.0000005302377
302,323.050850249666,0.00000169116756,0.00000050721006
303,319.211278786808,0.00000196525134,0.00000048184308
304,321.106799469255,0.00000187160154,0.00000046867064
305,319.455708565281,0.00000138625326,0.00000050614072
306,329.893460615971,0.00000139637262,0.00000051899058
307,323.18349621862,0.00000179676552,0.00000048429418
308,328.80938452295,0.00000161953194,0.00000050114454
309,325.287860906513,0.00000157468062,0.00000051408076
310,320.043363124589,0.00000137315702,0.00000050213768
311,326.007093861585,0.00000174079916,0.00000049850548
312,324.995078958942,0.00000171479464,0.00000049710594
313,324.454797959974,0.00000136063736,0.00000051408838
314,324.670314297863,0.00000140687552,0.0000005230749
315,329.562246033532,0.00000190681356,0.00000050586894
316,317.928100293707,0.00000160795716,0.00000050289206
317,324.870439788918,0.00000143528542,0.0000004990719
318,320.386321012127,0.00000188811408,0.00000046466252
319,316.612494264935,0.00000173819566,0.00000046260258
320,322.310666170725,0.0000015760192,0.00000050137314
321,325.25583371079,0.0000017852644,0.00000052037488
322,321.332635681321,0.00000192118742,0.0000005013325
323,322.493488079646,0.0000020176109,0.00000049488598
324,321.118453809921,0.00000139249912,0.00000050790602
325,326.464993795997,0.00000121160286,0.00000052949856
326,324.952420513527,0.00000158511494,0.00000050103532
327,326.130798905067,0.00000179786534,0.0000005006848
328,324.790505246258,0.0000019512153,0.00000050399442
329,323.567822567301,0.00000163530026,0.00000053612288
330,318.497339215474,0.00000146442684,0.00000052513738
331,327.422606948127,0.00000204597762,0.00000050780188
332,327.255709672635,0.00000154834336,0.00000051501294
333,323.760386081588,0.00000141318234,0.000000539242
334,324.204363082304,0.0000017429353,0.0000005101971
335,325.899091040451,0.00000160266888,0.00000053382164
336,328.960357165013,0.00000200151238,0.00000051616102
337,326.56654669577,0.00000141435582,0.00000055004716
338,319.527191486847,0.00000157871414,0.00000052364894
339,325.700255533668,0.00000126786386,0.00000053312314
340,327.584299804314,0.00000153004266,0.00000055225188
341,326.518150044455,0.00000197536816,0.0000005389245
342,323.517023876306,0.00000205672182,0.00000052631848
343,324.305426677698,0.0000016131413,0.00000054647592
344,324.166375269598,0.0000018331307,0.00000054346094
345,323.527165821619,0.00000187326016,0.00000054424834
346,324.809810528125,0.00000164568378,0.00000054774338
347,320.32119904749,0.00000152556972,0.0000005514848
348,327.97609916533,0.00000149370034,0.00000056577484
349,322.720525311552,0.00000161697162,0.000000573278
350,325.31984362002,0.00000195717922,0.00000056764682
351,322.182512905615,0.0000016771239,0.00000056370982
352,321.747699241453,0.0000015486253,0.00000056840374
353,322.901301038524,0.0000017786858,0.0000005471033
354,328.384890732966,0.0000014585442,0.00000056093868
355,325.445461398802,0.00000180348382,0.0000005399659
356,324.68961957973,0.00000189709552,0.00000053416962
357,328.214790737902,0.00000184179972,0.00000055331614
358,322.523913915583,0.0000015017115,0.00000057907682
359,322.709137864183,0.00000191868806,0.0000005421122
360,324.027724201446,0.0000016402558,0.00000054408578
361,318.170305961365,0.00000197168262,0.00000052150264
362,323.378105914856,0.00000148337524,0.00000054949598
363,322.486104031743,0.00000174764446,0.0000005495925
364,327.113588991612,0.0000014132179,0.00000059595512
365,327.965512397855,0.00000190375794,0.00000057756806
366,319.313143062095,0.000001732661,0.00000059108848
367,321.842179468837,0.00000166885112,0.00000056113934
368,323.059924621787,0.00000189921896,0.00000055544212
369,319.339476534135,0.00000155562808,0.0000005405755
370,329.719001363711,0.00000156197046,0.0000005611368
371,328.414248995713,0.00000166458138,0.00000056383682
372,324.305204266616,0.00000148146516,0.0000005880354
373,328.990382661004,0.00000166308024,0.00000057741312
374,323.607100364278,0.00000154552142,0.0000005693029
375,318.013150291239,0.00000154956764,0.0000005435092
376,321.220629460722,0.00000173693074,0.0000005500497
377,328.547962537858,0.00000210332828,0.00000053316378
378,319.814546604032,0.00000155861258,0.000000574675
379,321.570482091784,0.00000177072798,0.00000056636412
380,327.159939460979,0.00000155342844,0.00000056153812
381,324.827647896854,0.00000166499286,0.00000058941462
382,323.439268962245,0.00000186342528,0.00000053721254
383,319.721489807569,0.00000172343318,0.00000055867046
384,323.424233973141,0.0000016261842,0.00000057184036
385,322.303282122822,0.00000194102228,0.00000057416954
386,326.215982349248,0.00000175589184,0.00000060319666
387,321.21933947645,0.00000208388966,0.0000005709539
388,323.167082280812,0.00000157805628,0.00000059547252
389,323.726490632781,0.00000196814186,0.00000056448198
390,317.448759931047,0.00000159466026,0.00000056323992
391,324.668712938077,0.0000015191105,0.00000058157364
392,324.234610989376,0.00000177765456,0.0000005987161
393,324.387540848955,0.00000153706068,0.00000060856368
394,325.77729873227,0.00000225023426,0.00000055278274
395,318.117994875017,0.00000206164688,0.0000005535295
396,322.85935430857,0.00000195277486,0.00000053551074
397,315.602970366404,0.00000175330358,0.00000054638448
398,325.940681912675,0.0000016282924,0.00000056087264
399,318.730648439876,0.00000199820022,0.0000005408422
400,319.579902913142,0.00000207404462,0.00000054945534
401,327.303883912869,0.00000196314314,0.0000005858764
402,327.369317253021,0.00000200376028,0.00000055829708
403,334.016828618711,0.00000206625698,0.00000055025036
404,318.949100604039,0.00000161826956,0.00000054841648
405,325.645987229804,0.00000216463118,0.00000054518052
406,330.209907102605,0.00000192130172,0.00000057094882
407,321.903164587361,0.00000202921616,0.00000055782464
408,325.526641443518,0.0000017076928,0.0000005731891
409,332.744859644113,0.00000203794106,0.00000057393332
410,323.759896777209,0.00000195201032,0.00000056074564
411,322.907795442101,0.00000166997126,0.00000056764682
412,328.566333693183,0.00000171204636,0.000000580898
413,326.076530601202,0.00000209752692,0.00000055588154
414,322.177486415175,0.00000170729148,0.00000059150504
415,318.467580612781,0.00000181405276,0.00000060400438
416,328.322526665738,0.0000021257641,0.00000057789826
417,322.915713276599,0.00000198860664,0.00000057706006
418,319.987493460938,0.0000020601559,0.00000057446926
419,327.940157534574,0.00000203611734,0.00000057177432
420,321.723234022498,0.00000187339732,0.00000059149742
421,322.375120902118,0.00000182708042,0.00000059475624
422,322.055872035859,0.00000165534086,0.0000006262751
423,330.380941224212,0.00000188219334,0.00000062291976
424,324.710214845868,0.00000235248958,0.00000059663838
425,320.046298950864,0.00000215849962,0.00000059182
426,321.251366672173,0.00000209371438,0.00000060076842
427,320.717624558999,0.000001867027,0.00000062130686
428,329.180366206747,0.0000020678521,0.00000061469016
429,322.563947910237,0.00000197902576,0.0000006331331
430,328.043667651863,0.00000207786478,0.0000006172327
431,323.915139712035,0.00000230684324,0.00000058850022
432,316.988102099225,0.00000194099434,0.00000058556398
433,313.627203765784,0.000001679956,0.00000061783214
434,323.259027021868,0.00000207426814,0.00000061407548
435,318.264697224317,0.00000208075276,0.00000061105288
436,319.88229301943,0.00000193885566,0.0000006322187
437,327.632963348927,0.00000187847986,0.00000065081912
438,320.957072329248,0.00000167221662,0.00000063778384
439,322.807932866547,0.00000205721458,0.0000006040374
440,317.357037601072,0.00000204305916,0.00000059112658
441,324.428375523502,0.00000197031102,0.0000006011672
442,322.568574060731,0.00000167052244,0.00000063365126
443,324.89877496069,0.00000218835224,0.00000062250574
444,330.103772534555,0.00000209552794,0.00000061376052
445,322.595752694879,0.0000022270212,0.00000059217052
446,326.635716542089,0.00000172309282,0.00000061549788
447,321.840933966781,0.0000022873208,0.0000005719826
448,328.321058752601,0.00000171366942,0.0000006203315
449,323.254623282456,0.00000212850222,0.00000059778392
450,324.470277771241,0.00000199721216,0.00000061524134
451,324.498568460796,0.00000208512156,0.0000006068949
452,330.33129907084,0.00000201947526,0.00000060467748
453,324.410716083638,0.00000186315858,0.00000060748926
454,323.872792642134,0.00000169261028,0.00000061210952
455,325.586781399932,0.0000020258659,0.00000059947048
456,325.265130493993,0.0000017275556,0.0000006223
457,327.56232558947,0.00000209942176,0.0000006040501
458,326.338352926241,0.00000181570884,0.00000063295022
459,318.342585585027,0.00000199315578,0.00000059958478
460,330.819802770055,0.0000020901533,0.00000062263782
461,326.658224543528,0.00000200798176,0.00000060578238
462,326.106600579409,0.00000185546238,0.000000606806
463,325.168470638011,0.00000189794134,0.00000062354206
464,324.198091089808,0.00000169105072,0.00000065278508
465,326.219496444334,0.00000216002616,0.00000064284098
466,323.034614240723,0.0000021015071,0.00000062778386
467,328.606856992216,0.00000212935312,0.00000060656978
468,325.407873926043,0.00000185776108,0.00000062044072
469,326.138939150646,0.00000165174676,0.00000063185802
470,321.15759816025,0.00000168491408,0.00000062866524
471,328.559483431875,0.00000187058046,0.000000652399
472,324.879069338877,0.0000019203416,0.0000006538341
473,328.092509125342,0.000002210435,0.00000065005966
474,319.290679542873,0.00000195872608,0.00000063684912
475,325.953893130911,0.00000186374532,0.00000064822578
476,322.397006152529,0.00000195342002,0.00000061734192
477,328.647513737898,0.00000179870862,0.00000062907164
478,327.913557169237,0.00000176663096,0.00000064408812
479,322.282642374467,0.0000019633692,0.00000065159128
480,320.543298753388,0.00000206259938,0.00000064103504
481,327.666013635625,0.00000226990148,0.00000062332108
482,319.585285261312,0.0000018188178,0.00000063854584
483,330.322891931963,0.0000022473285,0.00000065148206
484,325.388568644177,0.00000234456478,0.00000062939168
485,329.7763389405,0.00000206351124,0.00000065101978
486,322.217120069883,0.00000245907814,0.00000062858904
487,319.80355949661,0.00000206579216,0.00000065610486
488,326.316734569127,0.00000214442294,0.00000065472818
489,323.772841102147,0.0000019969861,0.0000006329172
490,322.772525022386,0.0000020823047,0.00000064606424
491,325.955805866211,0.00000212078316,0.00000063555118
492,322.344606101748,0.00000211341716,0.00000062691264
493,323.056366044485,0.00000175897032,0.00000065198498
494,325.855409504062,0.00000191308228,0.00000065871852
495,326.349384515879,0.00000208455006,0.00000065685416
