"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"25"	"Jan"	3.5	1683	1	"1683-01-15"	-104.81
"382"	"Feb"	2	1683	2	"1683-02-15"	-104.779
"1096"	"Apr"	9.5	1683	4	"1683-04-15"	-104.72
"1810"	"Jun"	16	1683	6	"1683-06-15"	-104.659
"2167"	"Jul"	15.5	1683	7	"1683-07-15"	-104.629
"2524"	"Aug"	13.5	1683	8	"1683-08-15"	-104.598
"2881"	"Sep"	13	1683	9	"1683-09-15"	-104.567
"3595"	"Nov"	4.5	1683	11	"1683-11-15"	-104.506
"26"	"Jan"	-3	1684	1	"1684-01-15"	-104.445
"383"	"Feb"	-1	1684	2	"1684-02-15"	-104.414
"1097"	"Apr"	6.5	1684	4	"1684-04-15"	-104.354
"1811"	"Jun"	15	1684	6	"1684-06-15"	-104.293
"2168"	"Jul"	16	1684	7	"1684-07-15"	-104.263
"2525"	"Aug"	15.5	1684	8	"1684-08-15"	-104.232
"2882"	"Sep"	12	1684	9	"1684-09-15"	-104.201
"3596"	"Nov"	3	1684	11	"1684-11-15"	-104.14
"27"	"Jan"	0.5	1685	1	"1685-01-15"	-104.079
"384"	"Feb"	3.5	1685	2	"1685-02-15"	-104.048
"1098"	"Apr"	8.5	1685	4	"1685-04-15"	-103.989
"1812"	"Jun"	14.5	1685	6	"1685-06-15"	-103.928
"2169"	"Jul"	14	1685	7	"1685-07-15"	-103.898
"2526"	"Aug"	14.5	1685	8	"1685-08-15"	-103.867
"2883"	"Sep"	11.5	1685	9	"1685-09-15"	-103.836
"3597"	"Nov"	7	1685	11	"1685-11-15"	-103.775
"28"	"Jan"	6.5	1686	1	"1686-01-15"	-103.714
"385"	"Feb"	6	1686	2	"1686-02-15"	-103.683
"1099"	"Apr"	8.5	1686	4	"1686-04-15"	-103.624
"1813"	"Jun"	15.5	1686	6	"1686-06-15"	-103.563
"2170"	"Jul"	16.5	1686	7	"1686-07-15"	-103.533
"2527"	"Aug"	14.5	1686	8	"1686-08-15"	-103.502
"2884"	"Sep"	13	1686	9	"1686-09-15"	-103.471
"3598"	"Nov"	6.5	1686	11	"1686-11-15"	-103.41
"29"	"Jan"	3.5	1687	1	"1687-01-15"	-103.349
"386"	"Feb"	4.5	1687	2	"1687-02-15"	-103.318
"1100"	"Apr"	6.5	1687	4	"1687-04-15"	-103.259
"1814"	"Jun"	13	1687	6	"1687-06-15"	-103.198
"2171"	"Jul"	15.5	1687	7	"1687-07-15"	-103.168
"2528"	"Aug"	15	1687	8	"1687-08-15"	-103.137
"2885"	"Sep"	11	1687	9	"1687-09-15"	-103.106
"3599"	"Nov"	6	1687	11	"1687-11-15"	-103.045
"30"	"Jan"	3.5	1688	1	"1688-01-15"	-102.984
"387"	"Feb"	1.5	1688	2	"1688-02-15"	-102.953
"1101"	"Apr"	5.5	1688	4	"1688-04-15"	-102.893
"1815"	"Jun"	13	1688	6	"1688-06-15"	-102.832
"2172"	"Jul"	15.5	1688	7	"1688-07-15"	-102.802
"2529"	"Aug"	15	1688	8	"1688-08-15"	-102.771
"2886"	"Sep"	12	1688	9	"1688-09-15"	-102.74
"3600"	"Nov"	4	1688	11	"1688-11-15"	-102.679
"31"	"Jan"	0.5	1689	1	"1689-01-15"	-102.618
"388"	"Feb"	4.5	1689	2	"1689-02-15"	-102.587
"1102"	"Apr"	8	1689	4	"1689-04-15"	-102.528
"1816"	"Jun"	12	1689	6	"1689-06-15"	-102.467
"2173"	"Jul"	15.5	1689	7	"1689-07-15"	-102.437
"2530"	"Aug"	15.5	1689	8	"1689-08-15"	-102.406
"2887"	"Sep"	13	1689	9	"1689-09-15"	-102.375
"3601"	"Nov"	5	1689	11	"1689-11-15"	-102.314
"32"	"Jan"	4	1690	1	"1690-01-15"	-102.253
"389"	"Feb"	4.5	1690	2	"1690-02-15"	-102.222
"1103"	"Apr"	8	1690	4	"1690-04-15"	-102.163
"1817"	"Jun"	13.5	1690	6	"1690-06-15"	-102.102
"2174"	"Jul"	15.5	1690	7	"1690-07-15"	-102.072
"2531"	"Aug"	15	1690	8	"1690-08-15"	-102.041
"2888"	"Sep"	13	1690	9	"1690-09-15"	-102.01
"3602"	"Nov"	6.5	1690	11	"1690-11-15"	-101.949
"33"	"Jan"	1	1691	1	"1691-01-15"	-101.888
"390"	"Feb"	1	1691	2	"1691-02-15"	-101.857
"1104"	"Apr"	6.5	1691	4	"1691-04-15"	-101.798
"1818"	"Jun"	14.5	1691	6	"1691-06-15"	-101.737
"2175"	"Jul"	15.5	1691	7	"1691-07-15"	-101.707
"2532"	"Aug"	15.5	1691	8	"1691-08-15"	-101.676
"2889"	"Sep"	11	1691	9	"1691-09-15"	-101.645
"3603"	"Nov"	5	1691	11	"1691-11-15"	-101.584
"34"	"Jan"	2	1692	1	"1692-01-15"	-101.523
"391"	"Feb"	0	1692	2	"1692-02-15"	-101.492
"1105"	"Apr"	7.5	1692	4	"1692-04-15"	-101.432
"1819"	"Jun"	13.5	1692	6	"1692-06-15"	-101.371
"2176"	"Jul"	15	1692	7	"1692-07-15"	-101.341
"2533"	"Aug"	15	1692	8	"1692-08-15"	-101.31
"2890"	"Sep"	11.5	1692	9	"1692-09-15"	-101.279
"3604"	"Nov"	5	1692	11	"1692-11-15"	-101.218
"35"	"Jan"	3	1693	1	"1693-01-15"	-101.157
"392"	"Feb"	5	1693	2	"1693-02-15"	-101.126
"1106"	"Apr"	6.5	1693	4	"1693-04-15"	-101.067
"1820"	"Jun"	14.5	1693	6	"1693-06-15"	-101.006
"2177"	"Jul"	15	1693	7	"1693-07-15"	-100.976
"2534"	"Aug"	15	1693	8	"1693-08-15"	-100.945
"2891"	"Sep"	12	1693	9	"1693-09-15"	-100.914
"3605"	"Nov"	6	1693	11	"1693-11-15"	-100.853
"36"	"Jan"	0	1694	1	"1694-01-15"	-100.792
"393"	"Feb"	5	1694	2	"1694-02-15"	-100.761
"1107"	"Apr"	7.5	1694	4	"1694-04-15"	-100.702
"1821"	"Jun"	13	1694	6	"1694-06-15"	-100.641
"2178"	"Jul"	15	1694	7	"1694-07-15"	-100.611
"2535"	"Aug"	13	1694	8	"1694-08-15"	-100.58
"2892"	"Sep"	10.5	1694	9	"1694-09-15"	-100.549
"3606"	"Nov"	5.5	1694	11	"1694-11-15"	-100.488
"37"	"Jan"	-1	1695	1	"1695-01-15"	-100.427
"394"	"Feb"	0.5	1695	2	"1695-02-15"	-100.396
"1108"	"Apr"	5.5	1695	4	"1695-04-15"	-100.337
"1822"	"Jun"	13	1695	6	"1695-06-15"	-100.276
"2179"	"Jul"	13.5	1695	7	"1695-07-15"	-100.246
"2536"	"Aug"	13	1695	8	"1695-08-15"	-100.215
"2893"	"Sep"	11.5	1695	9	"1695-09-15"	-100.184
"3607"	"Nov"	5.5	1695	11	"1695-11-15"	-100.123
"38"	"Jan"	5.5	1696	1	"1696-01-15"	-100.062
"395"	"Feb"	4.5	1696	2	"1696-02-15"	-100.031
"1109"	"Apr"	5.5	1696	4	"1696-04-15"	-99.971
"1823"	"Jun"	13	1696	6	"1696-06-15"	-99.91
"2180"	"Jul"	15.5	1696	7	"1696-07-15"	-99.88
"2537"	"Aug"	15.5	1696	8	"1696-08-15"	-99.849
"2894"	"Sep"	11.5	1696	9	"1696-09-15"	-99.818
"3608"	"Nov"	5.5	1696	11	"1696-11-15"	-99.757
"39"	"Jan"	1	1697	1	"1697-01-15"	-99.696
"396"	"Feb"	0.5	1697	2	"1697-02-15"	-99.665
"1110"	"Apr"	7	1697	4	"1697-04-15"	-99.606
"1824"	"Jun"	13	1697	6	"1697-06-15"	-99.545
"2181"	"Jul"	15.5	1697	7	"1697-07-15"	-99.515
"2538"	"Aug"	14.5	1697	8	"1697-08-15"	-99.484
"2895"	"Sep"	12	1697	9	"1697-09-15"	-99.453
"3609"	"Nov"	4	1697	11	"1697-11-15"	-99.392
"40"	"Jan"	0	1698	1	"1698-01-15"	-99.331
